Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
BL9330,Monday,2015-01-05,18:45:00,20:15:00,Meadow Ridge Female Bantam C1,North Shore Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely,Bantam,Black Group,League,Meadow Ridge Female,
ML9544,Monday,2015-01-05,19:45:00,21:00:00,Richmond Girls Midget C2,Surrey Female Midget C1,Richmond Ice Centre Pond,Midget,Red Group,League,Richmond Girls,
PL9342,Tuesday,2015-01-06,18:15:00,19:30:00,Tri Cities Female Peewee C1,Burnaby Female Peewee C1,Planet Ice Coquitlam 2 Pluto,Peewee,Black Group,League,Tri Cities Female,
BL9542,Tuesday,2015-01-06,18:45:00,20:00:00,Tri Cities Female Bantam C2,Surrey Female Bantam C2,Planet Ice Coquitlam 3 Venus,Bantam,Red Group,League,Tri Cities Female,
PL9343,Tuesday,2015-01-06,19:15:00,20:30:00,Langley Girls Peewee C1,North Shore Female Peewee C1,Langley Sportsplex 1,Peewee,Black Group,League,Langley Girls,
PL9344,Tuesday,2015-01-06,19:15:00,20:30:00,Meadow Ridge Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Maple Ridge 2,Peewee,Black Group,League,Meadow Ridge Female,
AL9342,Tuesday,2015-01-06,19:30:00,20:45:00,Burnaby Female Atom C1,Surrey Female Atom C2,Kensington Arena,Atom,Blue Group,League,Burnaby,
PL9544,Tuesday,2015-01-06,19:45:00,21:00:00,Vancouver Girls Peewee C2,Richmond Girls Peewee C1,Killarney Community Centre,Peewee,Red Group,League,Vancouver Girls,
ML9344,Tuesday,2015-01-06,20:15:00,21:30:00,North Shore Female Midget C1,Langley Girls Midget C1,Harry Jerome Rec Centre,Midget,Black Group,League,North Shore Female,
ML9701,Tuesday,2015-01-06,21:15:00,22:30:00,Vancouver Girls Midget C2,Vancouver Girls Midget C1,Killarney Community Centre,Midget,Blue Group,League,Vancouver Girls,
AL9323,Wednesday,2015-01-07,18:00:00,19:15:00,Tri Cities Female Atom C2,Burnaby Female Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Blue Group,League,Tri Cities Female,
AL9524,Wednesday,2015-01-07,18:45:00,20:00:00,South Delta Female Atom C1,Vancouver Girls Atom C1,Tilbury Ice,Atom,Red Group,League,South Delta,
AL9324,Thursday,2015-01-08,18:00:00,19:15:00,Langley Girls Atom C1,Surrey Female Atom C2,Langley Sportsplex 2,Atom,Blue Group,League,Langley Girls,
AL9013,Thursday,2015-01-08,18:15:00,19:30:00,North Shore Female Atom C1,Tri Cities Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,League,North Shore Female,
ML9345,Thursday,2015-01-08,18:30:00,20:00:00,Richmond Girls Midget C1,North Shore Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,League,Richmond Girls,
PL9546,Thursday,2015-01-08,19:30:00,21:00:00,Langley Girls Peewee C2,Abbotsford Female Peewee C1,Langley Sportsplex 2,Peewee,Red Group,League,Langley Girls
BL9562,Thursday,2015-01-08,19:45:00,21:00:00,Vancouver Girls Bantam C1,Tri Cities Female Bantam C2,PNE Agrodome,Bantam,Red Group,League,Vancouver Girls
ML9700,Thursday,2015-01-08,19:45:00,21:00:00,Meadow Ridge Female Midget C1,Vancouver Girls Midget C2,Planet Ice Maple Ridge 2,Midget,Blue Group,League,Meadow Ridge Female
PL9346,Thursday,2015-01-08,19:45:00,21:00:00,North Shore Female Peewee C1,Tri Cities Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,League,North Shore Female
BL9331,Thursday,2015-01-08,20:00:00,21:15:00,South Delta Female Bantam C1,Richmond Girls Bantam C1,Tilbury Ice,Bantam,Black Group,League,South Delta
BL9332,Friday,2015-01-09,20:00:00,21:15:00,North Shore Female Bantam C1,Tri Cities Female Bantam C1,West Vancouver Ice Arena,Bantam,Black Group,League,North Shore Female
ML9546,Friday,2015-01-09,20:15:00,21:30:00,Tri Cities Female Midget C3,Langley Girls Midget C2,Port Coquitlam Green,Midget,Red Group,League,Tri Cities Female
BL9544,Friday,2015-01-09,20:30:00,22:00:00,Burnaby Female Bantam C1,Abbotsford Female Bantam C1,Burnaby Lake Arena,Bantam,Red Group,League,Burnaby
ML9547,Friday,2015-01-09,21:30:00,22:45:00,Surrey Female Midget C1,Tri Cities Female Midget C2,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Red Group,League,Surrey Female
AL9543,Saturday,2015-01-10,08:30:00,09:45:00,Vancouver Girls Atom C1,Richmond Girls Atom C3,Killarney Community Centre,Atom,Red Group,League,Vancouver Girls
PL9548,Saturday,2015-01-10,08:45:00,10:00:00,Surrey Female Peewee C1,Vancouver Girls Peewee C1,Planet Ice Delta Canadian,Peewee,Red Group,League,Surrey Female
NL9012,Saturday,2015-01-10,09:00:00,10:15:00,Langley Girls Novice C1,Vancouver Girls Novice C1,Langley Sportsplex 1,Novice,Black Group,League,Langley Girls
AL9525,Saturday,2015-01-10,09:30:00,10:45:00,North Shore Female Atom C3,South Delta Female Atom C1,Ice Sports North Shore 1 Red,Atom,Red Group,League,North Shore Female
PL9347,Saturday,2015-01-10,09:45:00,11:00:00,North Shore Winter Club Female Peewee C1,Langley Girls Peewee C1,North Shore Winter Club,Peewee,Black Group,League,North Shore Winter Club
AL9325,Saturday,2015-01-10,11:15:00,12:30:00,North Shore Female Atom C2,Meadow Ridge Female Atom C1,Ice Sports North Shore 3 Green,Atom,Blue Group,League,North Shore Female
ML9702,Saturday,2015-01-10,11:30:00,12:45:00,Vancouver Girls Midget C1,Abbotsford Female Midget C1,Killarney Community Centre,Midget,Blue Group,League,Vancouver Girls
PL9545,Saturday,2015-01-10,14:15:00,15:00:00,Abbotsford Female Peewee C1,Vancouver Girls Peewee C2,Abbotsford Centre Ice 1 Blue,Peewee,Red Group,League,Abbotsford Female
AL9326,Saturday,2015-01-10,14:30:00,15:30:00,Burnaby Female Atom C1,North Shore Winter Club Female Atom C1,Burnaby Lake Arena,Atom,Blue Group,League,Burnaby
BL9545,Saturday,2015-01-10,15:30:00,16:45:00,Surrey Female Bantam C2,Vancouver Girls Bantam C1,North Surrey Arena 2,Bantam,Red Group,League,Surrey Female
NL9324,Saturday,2015-01-10,15:45:00,16:45:00,Burnaby Female Novice C1,Vancouver Girls Novice C2,Burnaby Lake Arena,Novice,Red Group,League,Burnaby
AL9015,Saturday,2015-01-10,16:00:00,17:30:00,Surrey Female Atom C1,Richmond Girls Atom C1,Surrey Sport & Leisure Centre Arena 3 Green,Atom,Black Group,League,Surrey Female
BL9546,Saturday,2015-01-10,16:45:00,18:15:00,Langley Girls Bantam C1,Tri Cities Female Bantam C2,George Preston Recreation Centre,Bantam,Red Group,League,Langley Girls
BL9547,Saturday,2015-01-10,17:45:00,19:00:00,Abbotsford Female Bantam C1,Richmond Girls Bantam C2,Matsqui Recreation Centre,Bantam,Red Group,League,Abbotsford Female
ML9346,Saturday,2015-01-10,18:45:00,20:00:00,North Shore Winter Club Female Midget C1,Richmond Girls Midget C1,North Shore Winter Club,Midget,Black Group,League,North Shore Winter Club
BL9334,Saturday,2015-01-10,19:15:00,20:30:00,Tri Cities Female Bantam C1,Meadow Ridge Female Bantam C1,Coquitlam Main,Bantam,Black Group,League,Tri Cities Female
NL9325,Sunday,2015-01-11,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Langley Girls Novice C2,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female
NL9326,Sunday,2015-01-11,08:45:00,10:00:00,North Shore Female Novice C2,Surrey Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female
AL9327,Sunday,2015-01-11,09:00:00,10:15:00,Surrey Female Atom C2,Richmond Girls Atom C2,Newton Arena,Atom,Blue Group,League,Surrey Female
AL9527,Sunday,2015-01-11,09:15:00,10:30:00,North Shore Female Atom C4,Richmond Girls Atom C3,Ice Sports North Shore 1 Red,Atom,Red Group,League,North Shore Female
AL9328,Sunday,2015-01-11,09:45:00,11:00:00,Meadow Ridge Female Atom C1,Tri Cities Female Atom C2,Pitt Meadows Arena Volkswagen Blue,Atom,Blue Group,League,Meadow Ridge Female
ML9548,Sunday,2015-01-11,09:45:00,11:15:00,Western Washington Female Midget C1,Richmond Girls Midget C2,Bellingham Sportsplex,Midget,Red Group,League,Western Washington Female
NL9327,Sunday,2015-01-11,09:45:00,10:45:00,Abbotsford Female Novice C1,Tri Cities Female Novice C1,MSA Arena - Abbotsford,Novice,Red Group,League,Abbotsford Female
ML9703,Sunday,2015-01-11,11:00:00,12:15:00,Abbotsford Female Midget C1,Meadow Ridge Female Midget C1,MSA Arena - Abbotsford,Midget,Blue Group,League,Abbotsford Female
AL9329,Sunday,2015-01-11,11:15:00,12:30:00,North Shore Winter Club Female Atom C1,Langley Girls Atom C1,North Shore Winter Club,Atom,Blue Group,League,North Shore Winter Club
AL9529,Sunday,2015-01-11,11:15:00,12:30:00,Meadow Ridge Female Atom C2,Abbotsford Female Atom C1,Pitt Meadows Arena Volkswagen Blue,Atom,Red Group,League,Meadow Ridge Female
TL9001,Sunday,2015-01-11,11:30:00,12:45:00,North Shore Female Tyke C1,Richmond Girls Tyke C2,Ice Sports North Shore 2 Blue,Tyke,Black Group,League,North Shore Female
NL9328,Sunday,2015-01-11,12:40:00,13:40:00,North Shore Winter Club Female Novice C1,North Shore Female Novice C1,North Shore Winter Club,Novice,Red Group,League,North Shore Winter Club
BL9548,Sunday,2015-01-11,12:45:00,14:00:00,Vancouver Girls Bantam C1,Burnaby Female Bantam C1,Richmond Olympic Oval North,Bantam,Red Group,League,Vancouver Girls
ML9549,Sunday,2015-01-11,14:30:00,16:00:00,Langley Girls Midget C2,South Delta Female Midget C1,Langley Twin Rinks 1,Midget,Red Group,League,Langley Girls
TL9002,Sunday,2015-01-11,14:30:00,15:30:00,Tri Cities Female Tyke C1,Vancouver Girls Tyke C1,Planet Ice Coquitlam 1 Mars,Tyke,Black Group,League,Tri Cities Female
PL9550,Sunday,2015-01-11,15:45:00,17:00:00,Tri Cities Female Peewee C2,North Shore Female Peewee C2,Planet Ice Coquitlam 1 Mars,Peewee,Red Group,League,Tri Cities Female
AL9531,Sunday,2015-01-11,16:00:00,17:15:00,Vancouver Girls Atom C1,Tri Cities Female Atom C3,Hillcrest Centre Arena,Atom,Red Group,League,Vancouver Girls
BL9335,Sunday,2015-01-11,16:15:00,17:30:00,Surrey Female Bantam C1,South Delta Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple,Bantam,Black Group,League,Surrey Female
ML9348,Sunday,2015-01-11,16:15:00,17:45:00,Langley Girls Midget C1,Tri Cities Female Midget C1,Langley Twin Rinks 1,Midget,Black Group,League,Langley Girls
PL9348,Sunday,2015-01-11,18:45:00,20:00:00,South Delta Female Peewee C1,Meadow Ridge Female Peewee C1,Tilbury Ice,Peewee,Black Group,League,South Delta
ML9550,Sunday,2015-01-11,19:00:00,20:15:00,Tri Cities Female Midget C2,Tri Cities Female Midget C3,Port Moody 2,Midget,Red Group,League,Tri Cities Female
BL9336,Monday,2015-01-12,18:45:00,20:15:00,Meadow Ridge Female Bantam C1,South Delta Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely,Bantam,Black Group,League,Meadow Ridge Female
ML9551,Monday,2015-01-12,19:45:00,21:00:00,Richmond Girls Midget C2,Tri Cities Female Midget C3,Richmond Ice Centre Pond,Midget,Red Group,League,Richmond Girls
ML9552,Monday,2015-01-12,19:45:00,21:15:00,South Delta Female Midget C1,Surrey Female Midget C1,Tilbury Ice,Midget,Red Group,League,South Delta
PL9349,Tuesday,2015-01-13,18:15:00,19:30:00,Tri Cities Female Peewee C1,Meadow Ridge Female Peewee C1,Planet Ice Coquitlam 2 Pluto,Peewee,Black Group,League,Tri Cities Female
BL9549,Tuesday,2015-01-13,18:45:00,20:00:00,Tri Cities Female Bantam C2,Burnaby Female Bantam C1,Planet Ice Coquitlam 3 Venus,Bantam,Red Group,League,Tri Cities Female
AL9336,Tuesday,2015-01-13,19:15:00,20:30:00,Meadow Ridge Female Atom C1,Richmond Girls Atom C2,Planet Ice Maple Ridge 2,Atom,Blue Group,League,Meadow Ridge Female
PL9352,Tuesday,2015-01-13,19:30:00,20:45:00,Burnaby Female Peewee C1,North Shore Winter Club Female Peewee C1,Kensington Arena,Peewee,Black Group,League,Burnaby
PL9552,Tuesday,2015-01-13,19:45:00,21:00:00,Vancouver Girls Peewee C2,Surrey Female Peewee C1,Killarney Community Centre,Peewee,Red Group,League,Vancouver Girls
ML9349,Tuesday,2015-01-13,20:15:00,21:30:00,North Shore Female Midget C1,Langley Girls Midget C1,Harry Jerome Rec Centre,Midget,Black Group,League,North Shore Female
AL9016,Wednesday,2015-01-14,18:00:00,19:15:00,Tri Cities Female Atom C1,Richmond Girls Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Black Group,League,Tri Cities Female
BL9333,Wednesday,2015-01-14,18:30:00,19:45:00,Richmond Girls Bantam C1,Surrey Female Bantam C1,Richmond Ice Centre Coliseum,Bantam,Black Group,League,Richmond Girls
AL9532,Wednesday,2015-01-14,18:45:00,20:00:00,South Delta Female Atom C1,Abbotsford Female Atom C1,Tilbury Ice,Atom,Red Group,League,South Delta
AL9332,Thursday,2015-01-15,18:00:00,19:15:00,Langley Girls Atom C1,Burnaby Female Atom C1,Langley Sportsplex 2,Atom,Blue Group,League,Langley Girls
AL9017,Thursday,2015-01-15,18:15:00,19:30:00,North Shore Female Atom C1,Surrey Female Atom C1,Harry Jerome Rec Centre,Atom,Black Group,League,North Shore Female
ML9350,Thursday,2015-01-15,18:30:00,20:00:00,Richmond Girls Midget C1,North Shore Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,League,Richmond Girls
PL9553,Thursday,2015-01-15,18:30:00,19:45:00,Abbotsford Female Peewee C1,North Shore Female Peewee C2,MSA Arena - Abbotsford,Peewee,Red Group,League,Abbotsford Female
