Game #,Day,Date,Start,End,Home Team,Away Team,Arena
ML9045,Monday,11/10/2014,19:45,21:00,Richmond Girls Midget A1,Abbotsford Female Midget A1,Richmond Ice Centre Pond
PL9300,Tuesday,11/11/2014,18:15,19:30,Tri-Cities Female Peewee C1,Burnaby Female Peewee C1,Planet Ice Coquitlam 2 Pluto
BL9310,Tuesday,11/11/2014,18:45,20:00,Tri-Cities Female Bantam C1,Surrey Female Bantam C1,Planet Ice Coquitlam 3 Venus
PL9301,Tuesday,11/11/2014,19:15,20:30,Langley Girls Peewee C1,North Shore Female Peewee C1,Langley Sportsplex 1
PL9500,Tuesday,11/11/2014,19:45,21:00,Vancouver Girls Peewee C2,Vancouver Girls Peewee C1,Killarney Community Centre
AL9000,Wednesday,11/12/2014,18:00,19:15,Tri-Cities Female Atom C1,Surrey Female Atom C1,Planet Ice Coquitlam 4 Saturn
PL9000,Wednesday,11/12/2014,18:00,19:15,Surrey Female Peewee A1,Richmond Girls Peewee A1,Cloverdale Arena
PL9543,Wednesday,11/12/2014,18:30,19:45,Richmond Girls Peewee C1,North Shore Female Peewee C2,Richmond Ice Centre Coliseum
AL9500,Wednesday,11/12/2014,18:45,20:00,South Delta Female Atom C1,Vancouver Girls Atom C1,Tilbury Ice
ML9001,Wednesday,11/12/2014,20:15,21:45,Abbotsford Female Midget A1,North Shore Female Midget A1,Matsqui Recreation Centre
AL9001,Thursday,11/13/2014,18:15,19:30,North Shore Female Atom C1,Richmond Girls Atom C1,Harry Jerome Rec Centre
ML9301,Thursday,11/13/2014,18:30,20:00,Richmond Girls Midget C1,Abbotsford Female Midget C1,Richmond Ice Centre Garage
PL9501,Thursday,11/13/2014,18:30,19:45,Abbotsford Female Peewee C1,Surrey Female Peewee C1,MSA Arena - Abbotsford
BL9000,Thursday,11/13/2014,19:30,20:45,Surrey Female Bantam A1,North Shore Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
PL9502,Thursday,11/13/2014,19:30,21:00,Langley Girls Peewee C2,North Shore Female Peewee C2,Langley Sportsplex 2
ML9503,Thursday,11/13/2014,19:45,21:00,Vancouver Girls Midget C2,Langley Girls Midget C2,PNE Agrodome
PL9304,Thursday,11/13/2014,19:45,21:00,North Shore Female Peewee C1,Tri-Cities Female Peewee C1,Harry Jerome Rec Centre
BL9001,Thursday,11/13/2014,20:00,21:15,Abbotsford Female Bantam A1,Vancouver Girls Bantam A1,Matsqui Recreation Centre
BL9301,Thursday,11/13/2014,20:00,21:15,South Delta Female Bantam C1,Richmond Girls Bantam C1,Tilbury Ice
BL9002,Friday,11/14/2014,19:30,20:45,North Shore Female Bantam A1,Richmond Girls Bantam A1,Ice Sports North Shore 2 Blue
BL9501,Friday,11/14/2014,19:45,21:15,Richmond Girls Bantam C2,Langley Girls Bantam C1,Richmond Ice Centre Igloo
ML9002,Friday,11/14/2014,19:45,21:15,Surrey Female Midget A1,Vancouver Girls Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
BL9302,Friday,11/14/2014,20:00,21:15,North Shore Female Bantam C1,Tri-Cities Female Bantam C1,West Vancouver Ice Arena
ML9302,Friday,11/14/2014,20:15,21:30,Tri-Cities Female Midget C3,North Shore Winter Club Female Midget C1,Port Coquitlam Green
BL9502,Friday,11/14/2014,20:30,22:00,Burnaby Female Bantam C1,Abbotsford Female Bantam C1,Burnaby Lake Arena
ML9003,Friday,11/14/2014,20:30,22:00,Richmond Girls Midget A1,Abbotsford Female Midget A1,Minoru Arena Silver Spectrum
ML9322,Friday,11/14/2014,20:30,22:00,Tri-Cities Female Midget C1,Langley Girls Midget C1,Coquitlam Recreation
ML9504,Friday,11/14/2014,21:30,22:45,Surrey Female Midget C1,Tri-Cities Female Midget C2,Surrey Sport & Leisure Centre Arena 3 Green
PL9503,Saturday,11/15/2014,8:30,9:45,Vancouver Girls Peewee C1,Tri-Cities Female Peewee C2,Killarney Community Centre
NL9304,Saturday,11/15/2014,9:00,10:15,Langley Girls Novice C2,Vancouver Girls Novice C2,Langley Sportsplex 1
PL9305,Saturday,11/15/2014,9:45,11:00,North Shore Winter Club Female Peewee C1,Langley Girls Peewee C1,North Shore Winter Club
BL9003,Saturday,11/15/2014,10:00,11:15,Vancouver Girls Bantam A1,Surrey Female Bantam A1,Killarney Community Centre
PL9001,Saturday,11/15/2014,11:00,12:15,North Shore Female Peewee A1,Richmond Girls Peewee A2,Ice Sports North Shore 1 Red
AL9301,Saturday,11/15/2014,11:15,12:30,North Shore Female Atom C2,Meadow Ridge Female Atom C1,Ice Sports North Shore 3 Green
