Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
MP9000,Tuesday,2015-01-27,21:15:00,22:30:00,Vancouver Girls Midget A1,Richmond Girls Midget A1,Killarney Community Centre,Midget,Flight 1 - 1st vs. 6th,Playoffs Rep,Vancouver Girls,
AP9800,Wednesday,2015-01-28,18:45:00,20:00:00,South Delta Female Atom C1,Vancouver Girls Atom C1,Tilbury Ice,Atom,Orange Group,Playoffs C Leagues,South Delta,
MP9004,Wednesday,2015-01-28,20:15:00,21:45:00,Abbotsford Female Midget A1,Surrey Female Midget A1,Matsqui Recreation Centre,Midget,Flight 1 - 2nd vs. 5th,Playoffs Rep,Abbotsford Female,
AP9401,Thursday,2015-01-29,18:00:00,19:15:00,Langley Girls Atom C1,North Shore Female Atom C2,Langley Sportsplex 2,Atom,Purple Group,Playoffs C Leagues,Langley Girls,
MP9005,Friday,2015-01-30,19:45:00,21:15:00,Surrey Female Midget A1,Abbotsford Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Flight 1 - 2nd vs. 5th,Playoffs Rep,Surrey Female,
MP9001,Friday,2015-01-30,20:30:00,22:00:00,Richmond Girls Midget A1,Vancouver Girls Midget A1,Minoru Arena Silver Spectrum,Midget,Flight 1 - 1st vs. 6th,Playoffs Rep,Richmond Girls,
MP9008,Friday,2015-01-30,20:30:00,22:00:00,Tri Cities Female Midget A1,North Shore Female Midget A1,Coquitlam Recreation,Midget,Flight 1 - 3rd vs. 4th,Playoffs Rep,Tri Cities Female,
AP9801,Saturday,2015-01-31,09:30:00,10:45:00,North Shore Female Atom C3,Richmond Girls Atom C3,Ice Sports North Shore 1 Red,Atom,Orange Group,Playoffs C Leagues,North Shore Female,
AP9200,Saturday,2015-01-31,14:30:00,15:30:00,Burnaby Female Atom C1,Richmond Girls Atom C2,Burnaby Lake Arena,Atom,Blue Group,Playoffs C Leagues,Burnaby,
AP9600,Sunday,2015-02-01,09:15:00,10:30:00,North Shore Female Atom C4,Tri Cities Female Atom C3,Ice Sports North Shore 1 Red,Atom,Red Group,Playoffs C Leagues,North Shore Female,
AP9201,Sunday,2015-02-01,09:45:00,11:00:00,Meadow Ridge Female Atom C1,North Shore Winter Club Female Atom C1,Pitt Meadows Arena Volkswagen Blue,Atom,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
AP9601,Sunday,2015-02-01,11:00:00,12:15:00,Abbotsford Female Atom C1,Meadow Ridge Female Atom C2,MSA Arena - Abbotsford,Atom,Red Group,Playoffs C Leagues,Abbotsford Female,
MP9009,Sunday,2015-02-01,17:15:00,18:45:00,North Shore Female Midget A1,Tri Cities Female Midget A1,West Vancouver Ice Arena,Midget,Flight 1 - 3rd vs. 4th,Playoffs Rep,North Shore Female,
MP9002,Sunday,2015-02-01,18:30:00,19:45:00,Richmond Girls Midget A1,Vancouver Girls Midget A1,Minoru Arena Silver Spectrum,Midget,Flight 1 - 1st vs. 6th,Playoffs Rep,Richmond Girls,
MP9003,Tuesday,2015-02-03,21:15:00,22:30:00,Vancouver Girls Midget A1,Richmond Girls Midget A1,Killarney Community Centre,Midget,Flight 1 - 1st vs. 6th,Playoffs Rep,Vancouver Girls,
MP9006,Wednesday,2015-02-04,20:15:00,21:45:00,Surrey Female Midget A1,Abbotsford Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Flight 1 - 2nd vs. 5th,Playoffs Rep,Surrey Female
AP9803,Saturday,2015-02-07,11:45:00,13:00:00,Richmond Girls Atom C3,South Delta Female Atom C1,Richmond Ice Centre Pond,Atom,Orange Group,Playoffs C Leagues,Richmond Girls
AP9802,Sunday,2015-02-08,16:00:00,17:15:00,Vancouver Girls Atom C1,North Shore Female Atom C3,Hillcrest Centre Arena,Atom,Orange Group,Playoffs C Leagues,Vancouver Girls
AP9202,Sunday,2015-02-08,17:45:00,19:00:00,Richmond Girls Atom C2,Meadow Ridge Female Atom C1,Richmond Ice Centre Forum,Atom,Blue Group,Playoffs C Leagues,Richmond Girls
AP9805,Wednesday,2015-02-11,18:45:00,20:00:00,South Delta Female Atom C1,North Shore Female Atom C3,Tilbury Ice,Atom,Orange Group,Playoffs C Leagues,South Delta
AP9404,Saturday,2015-02-14,11:15:00,12:30:00,North Shore Female Atom C2,Surrey Female Atom C2,Ice Sports North Shore 3 Green,Atom,Purple Group,Playoffs C Leagues,North Shore Female
AP9804,Saturday,2015-02-14,11:45:00,13:00:00,Richmond Girls Atom C3,Vancouver Girls Atom C1,Richmond Ice Centre Pond,Atom,Orange Group,Playoffs C Leagues,Richmond Girls
AP9205,Saturday,2015-02-14,14:30:00,15:30:00,Burnaby Female Atom C1,Meadow Ridge Female Atom C1,Burnaby Lake Arena,Atom,Blue Group,Playoffs C Leagues,Burnaby
AP9605,Sunday,2015-02-15,09:15:00,10:30:00,North Shore Female Atom C4,Abbotsford Female Atom C1,Ice Sports North Shore 1 Red,Atom,Red Group,Playoffs C Leagues,North Shore Female
AP9204,Sunday,2015-02-15,11:15:00,12:30:00,North Shore Winter Club Female Atom C1,Richmond Girls Atom C2,North Shore Winter Club,Atom,Blue Group,Playoffs C Leagues,North Shore Winter Club
AP9604,Sunday,2015-02-15,11:15:00,12:30:00,Meadow Ridge Female Atom C2,Tri Cities Female Atom C3,Pitt Meadows Arena Volkswagen Blue,Atom,Red Group,Playoffs C Leagues,Meadow Ridge Female
AP9203,,,,,North Shore Winter Club Female Atom C1,Burnaby Female Atom C1,,Atom,Blue Group,Playoffs C Leagues,North Shore Winter Club
AP9400,,,,,Tri Cities Female Atom C2,Surrey Female Atom C2,,Atom,Purple Group,Playoffs C Leagues,Tri Cities Female
AP9402,,,,,Surrey Female Atom C2,Langley Girls Atom C1,,Atom,Purple Group,Playoffs C Leagues,Surrey Female
AP9403,,,,,North Shore Female Atom C2,Tri Cities Female Atom C2,,Atom,Purple Group,Playoffs C Leagues,North Shore Female
AP9405,,,,,Tri Cities Female Atom C2,Langley Girls Atom C1,,Atom,Purple Group,Playoffs C Leagues,Tri Cities Female
AP9602,,,,,Tri Cities Female Atom C3,Abbotsford Female Atom C1,,Atom,Red Group,Playoffs C Leagues,Tri Cities Female
AP9603,,,,,Meadow Ridge Female Atom C2,North Shore Female Atom C4,,Atom,Red Group,Playoffs C Leagues,Meadow Ridge Female
