Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
BP9700,Monday,2015-01-26,18:45:00,20:15:00,Meadow Ridge Female Bantam C1,North Shore Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely,Bantam,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
MP9500,Monday,2015-01-26,19:45:00,21:00:00,Richmond Girls Midget C2,Surrey Female Midget C1,Richmond Ice Centre Pond,Midget,Red Group,Playoffs C Leagues,Richmond Girls,
PP9309,Monday,2015-01-26,19:45:00,21:00:00,South Delta Female Peewee C1,Tri Cities Female Peewee C1,Tilbury Ice,Peewee,Black Group,Playoffs C Leagues,South Delta,
PP9300,Tuesday,2015-01-27,18:15:00,19:30:00,Tri Cities Female Peewee C1,North Shore Female Peewee C1,Planet Ice Coquitlam 2 Pluto,Peewee,Black Group,Playoffs C Leagues,Tri Cities Female,
BP9500,Tuesday,2015-01-27,18:45:00,20:00:00,Tri Cities Female Bantam C2,Burnaby Female Bantam C1,Planet Ice Coquitlam 3 Venus,Bantam,Red Group,Playoffs C Leagues,Tri Cities Female,
PP9301,Tuesday,2015-01-27,19:15:00,20:30:00,Langley Girls Peewee C1,North Shore Winter Club Female Peewee C1,Langley Sportsplex 1,Peewee,Black Group,Playoffs C Leagues,Langley Girls,
PP9700,Tuesday,2015-01-27,19:15:00,20:30:00,Meadow Ridge Female Peewee C1,Burnaby Female Peewee C1,Planet Ice Maple Ridge 2,Peewee,Blue Group,Playoffs C Leagues,Meadow Ridge Female,
PP9702,Tuesday,2015-01-27,19:45:00,21:00:00,Vancouver Girls Peewee C2,Tri Cities Female Peewee C2,Killarney Community Centre,Peewee,Blue Group,Playoffs C Leagues,Vancouver Girls,
MP9300,Tuesday,2015-01-27,20:15:00,21:30:00,North Shore Female Midget C1,North Shore Winter Club Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,Playoffs C Leagues,North Shore Female,
JP9000,Tuesday,2015-01-27,22:00:00,23:30:00,North Shore Winter Club Female Juvenile C1,Tri Cities Female Juvenile C1,North Shore Winter Club,Juvenile,Black Group,Playoffs C Leagues,North Shore Winter Club,
AP9000,Wednesday,2015-01-28,18:00:00,19:15:00,Tri Cities Female Atom C1,Surrey Female Atom C1,Planet Ice Coquitlam 4 Saturn,Atom,Black Group,Playoffs C Leagues,Tri Cities Female,
PP9000,Wednesday,2015-01-28,18:00:00,19:15:00,Surrey Female Peewee A1,Richmond Girls Peewee A1,Cloverdale Arena,Peewee,Flight 1,Playoffs Rep,Surrey Female,
BP9706,Wednesday,2015-01-28,18:30:00,19:45:00,Richmond Girls Bantam C2,North Shore Female Bantam C1,Richmond Ice Centre Coliseum,Bantam,Blue Group,Playoffs C Leagues,Richmond Girls,
AP9001,Thursday,2015-01-29,18:15:00,19:30:00,North Shore Female Atom C1,Richmond Girls Atom C1,Harry Jerome Rec Centre,Atom,Black Group,Playoffs C Leagues,North Shore Female,
MP9301,Thursday,2015-01-29,18:30:00,20:00:00,Richmond Girls Midget C1,Tri Cities Female Midget C1,Richmond Ice Centre Garage,Midget,Black Group,Playoffs C Leagues,Richmond Girls,
PP9500,Thursday,2015-01-29,18:30:00,19:45:00,Abbotsford Female Peewee C1,Vancouver Girls Peewee C1,MSA Arena - Abbotsford,Peewee,Red Group,Playoffs C Leagues,Abbotsford Female
BP9000,Thursday,2015-01-29,19:30:00,20:45:00,Surrey Female Bantam A1,North Shore Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue,Bantam,Flight 1,Playoffs Rep,Surrey Female
PP9501,Thursday,2015-01-29,19:30:00,21:00:00,Langley Girls Peewee C2,Surrey Female Peewee C1,Langley Sportsplex 2,Peewee,Red Group,Playoffs C Leagues,Langley Girls
MP9701,Thursday,2015-01-29,19:45:00,21:00:00,Vancouver Girls Midget C2,Vancouver Girls Midget C1,PNE Agrodome,Midget,Blue Group,Playoffs C Leagues,Vancouver Girls
PP9302,Thursday,2015-01-29,19:45:00,21:00:00,North Shore Female Peewee C1,South Delta Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Playoffs C Leagues,North Shore Female
PP9706,Thursday,2015-01-29,19:45:00,21:00:00,Meadow Ridge Female Peewee C1,Tri Cities Female Peewee C2,Planet Ice Maple Ridge 2,Peewee,Blue Group,Playoffs C Leagues,Meadow Ridge Female
BP9001,Thursday,2015-01-29,20:00:00,21:15:00,Abbotsford Female Bantam A1,Vancouver Girls Bantam A1,Matsqui Recreation Centre,Bantam,Flight 1,Playoffs Rep,Abbotsford Female
BP9300,Thursday,2015-01-29,20:00:00,21:15:00,South Delta Female Bantam C1,Richmond Girls Bantam C1,Tilbury Ice,Bantam,Black Group,Playoffs C Leagues,South Delta
AP9003,Friday,2015-01-30,18:15:00,19:30:00,Richmond Girls Atom C1,Tri Cities Female Atom C1,Richmond Ice Centre Igloo,Atom,Black Group,Playoffs C Leagues,Richmond Girls
BP9002,Friday,2015-01-30,19:30:00,20:45:00,North Shore Female Bantam A1,Richmond Girls Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Flight 1,Playoffs Rep,North Shore Female
BP9701,Friday,2015-01-30,19:45:00,21:15:00,Richmond Girls Bantam C2,Langley Girls Bantam C1,Richmond Ice Centre Igloo,Bantam,Blue Group,Playoffs C Leagues,Richmond Girls
BP9702,Friday,2015-01-30,20:00:00,21:15:00,North Shore Female Bantam C1,Vancouver Girls Bantam C1,West Vancouver Ice Arena,Bantam,Blue Group,Playoffs C Leagues,North Shore Female
MP9502,Friday,2015-01-30,20:15:00,21:30:00,Tri Cities Female Midget C3,Langley Girls Midget C2,Port Coquitlam Green,Midget,Red Group,Playoffs C Leagues,Tri Cities Female
BP9501,Friday,2015-01-30,20:30:00,22:00:00,Burnaby Female Bantam C1,Surrey Female Bantam C2,Burnaby Lake Arena,Bantam,Red Group,Playoffs C Leagues,Burnaby
MP9503,Friday,2015-01-30,21:30:00,22:45:00,Surrey Female Midget C1,Tri Cities Female Midget C2,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Red Group,Playoffs C Leagues,Surrey Female
PP9502,Saturday,2015-01-31,08:30:00,09:45:00,Vancouver Girls Peewee C1,North Shore Female Peewee C2,Killarney Community Centre,Peewee,Red Group,Playoffs C Leagues,Vancouver Girls
