Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
NL9343,Saturday,2015-01-31,15:45:00,16:45:00,Burnaby Female Novice C1,North Shore Winter Club Female Novice C1,Burnaby Lake Arena,Novice,Red Group,League,Burnaby,
NL9342,Sunday,2015-02-01,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Abbotsford Female Novice C1,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female,
NL9341,Sunday,2015-02-01,08:45:00,10:00:00,North Shore Female Novice C2,North Shore Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female,
NL9019,Sunday,2015-02-01,09:15:00,10:15:00,Richmond Girls Novice C2,Richmond Girls Novice C1,Richmond Ice Centre Igloo,Novice,Black Group,League,Richmond Girls,
NL9340,Sunday,2015-02-01,10:30:00,11:45:00,Surrey Female Novice C1,Vancouver Girls Novice C2,Newton Arena,Novice,Red Group,League,Surrey Female,
NL9339,Sunday,2015-02-01,14:30:00,15:30:00,Tri Cities Female Novice C1,Langley Girls Novice C2,Planet Ice Coquitlam 1 Mars,Novice,Red Group,League,Tri Cities Female,
NL9018,Sunday,2015-02-01,16:00:00,17:15:00,Vancouver Girls Novice C1,Langley Girls Novice C1,Hillcrest Centre Arena,Novice,Black Group,League,Vancouver Girls,
NL9021,Saturday,2015-02-07,09:00:00,10:15:00,Langley Girls Novice C1,Richmond Girls Novice C2,Langley Sportsplex 1,Novice,Black Group,League,Langley Girls,
NL9348,Saturday,2015-02-07,15:45:00,16:45:00,Burnaby Female Novice C1,Tri Cities Female Novice C1,Burnaby Lake Arena,Novice,Red Group,League,Burnaby,
NL9344,Saturday,2015-02-07,18:00:00,19:00:00,Vancouver Girls Novice C2,Langley Girls Novice C2,Burnaby Winter Club,Novice,Red Group,League,Vancouver Girls,
NL9347,Sunday,2015-02-08,08:45:00,10:00:00,North Shore Female Novice C1,Surrey Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female,
NL9020,Sunday,2015-02-08,09:15:00,10:15:00,Richmond Girls Novice C1,Vancouver Girls Novice C1,Richmond Ice Centre Igloo,Novice,Black Group,League,Richmond Girls,
NL9345,Sunday,2015-02-08,12:40:00,13:40:00,North Shore Winter Club Female Novice C1,Meadow Ridge Female Novice C1,North Shore Winter Club,Novice,Red Group,League,North Shore Winter Club,
NL9351,Saturday,2015-02-14,09:00:00,10:15:00,Langley Girls Novice C2,North Shore Female Novice C1,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls,
NL9349,Sunday,2015-02-15,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Burnaby Female Novice C1,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female,
NL9353,Sunday,2015-02-15,08:45:00,10:00:00,North Shore Female Novice C2,North Shore Winter Club Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female
NL9023,Sunday,2015-02-15,09:15:00,10:15:00,Richmond Girls Novice C1,Langley Girls Novice C1,Richmond Ice Centre Igloo,Novice,Black Group,League,Richmond Girls
NL9352,Sunday,2015-02-15,10:30:00,11:45:00,Surrey Female Novice C1,Abbotsford Female Novice C1,Newton Arena,Novice,Red Group,League,Surrey Female
NL9350,Sunday,2015-02-15,14:30:00,15:30:00,Tri Cities Female Novice C1,Vancouver Girls Novice C2,Planet Ice Coquitlam 1 Mars,Novice,Red Group,League,Tri Cities Female
NL9022,Sunday,2015-02-15,16:00:00,17:15:00,Vancouver Girls Novice C1,Richmond Girls Novice C2,Hillcrest Centre Arena,Novice,Black Group,League,Vancouver Girls
NL9024,Saturday,2015-02-21,09:00:00,10:15:00,Langley Girls Novice C1,Vancouver Girls Novice C1,Langley Sportsplex 1,Novice,Black Group,League,Langley Girls
NL9356,Saturday,2015-02-21,15:45:00,16:45:00,Burnaby Female Novice C1,North Shore Female Novice C2,Burnaby Lake Arena,Novice,Red Group,League,Burnaby
NL9358,Sunday,2015-02-22,08:30:00,09:30:00,Meadow Ridge Female Novice C1,Tri Cities Female Novice C1,Pitt Meadows Arena Volkswagen Blue,Novice,Red Group,League,Meadow Ridge Female
NL9355,Sunday,2015-02-22,08:45:00,10:00:00,North Shore Female Novice C1,Vancouver Girls Novice C2,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female
NL9025,Sunday,2015-02-22,09:15:00,10:15:00,Richmond Girls Novice C1,Richmond Girls Novice C2,Richmond Ice Centre Igloo,Novice,Black Group,League,Richmond Girls
NL9354,Sunday,2015-02-22,09:45:00,10:45:00,Abbotsford Female Novice C1,Langley Girls Novice C2,MSA Arena - Abbotsford,Novice,Red Group,League,Abbotsford Female
NL9357,Sunday,2015-02-22,12:40:00,13:40:00,North Shore Winter Club Female Novice C1,Surrey Female Novice C1,North Shore Winter Club,Novice,Red Group,League,North Shore Winter Club
NL9363,Saturday,2015-02-28,09:00:00,10:15:00,Langley Girls Novice C2,North Shore Winter Club Female Novice C1,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls
NL9362,Saturday,2015-02-28,18:00:00,19:00:00,Vancouver Girls Novice C2,Abbotsford Female Novice C1,Burnaby Winter Club,Novice,Red Group,League,Vancouver Girls
NL9360,Sunday,2015-03-01,08:45:00,10:00:00,North Shore Female Novice C2,Meadow Ridge Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female
