,,RichmondGirls A1,RichmondGirls A2,SurreyFemale A1,NorthShoreFemale A1,TriCitiesFemale A1,AbbotsfordFemale A1,VancouverGirls A1
Wednesday,12,X,,X,,,,
Thursday,13,,,,,,,
Friday,14,,,,,,,
Saturday,15,,X,,X,X,X,
Sunday,16,X,,,X,,X,X
Monday,17,,,,,,,
Tuesday,18,,,,,,,
Wednesday,19,X,,X,X,X,,
Thursday,20,,,,,,,
Friday,21,,,,,,,
Saturday,22,X,X,,X,X,,
Sunday,23,X,X,X,X,,X,X
Monday,24,,,,,,,
Tuesday,25,,,,,,,
Wednesday,26,,X,X,X,,,X
Thursday,27,X,,X,,,X,X
Friday,28,,,,,,,
Saturday,29,,,,X,X,X,X
Sunday,30,,X,X,,Declined,X,X
Monday,1,,,,,,,
Tuesday,2,,X,,,X,,
Wednesday,3,No Goalie,X,X,,,,
Thursday,4,No Goalie,,,,,,
Friday,5,No Goalie,,,,,,
Saturday,6,No Goalie,,,X,X,X,X
Sunday,7,No Goalie,X,X,X,X,X,X
Monday,8,,,X,,,X,
Tuesday,9,X,,,,X,,
Wednesday,10,,,,,,,
Thursday,11,,,,,,,
Friday,12,,,,,,,
Saturday,13,,,X,X,X,,X
Sunday,14,X,X,,,,X,X
Monday,15,X,,X,,,,
Tuesday,16,,,,X,X,,
Wednesday,17,,,X,,,,X
Thursday,18,,,,,,,
Friday,19,,,,,,,
Saturday,20,,,X,X,,,
Sunday,21,X,X,,X,X,X,X
Monday,22,,,,,,,
Tuesday,23,,,,,,,
Wednesday,24,,,,,,,
Thursday,25,,,,,,,
Friday,26,,,,,,,
Saturday,27,,,,,,,
Sunday,28,,,,,,,
Monday,29,,,,,,,
Tuesday,30,,,,,,,
Wednesday,31,,,,,,,
Thursday,1,,,,,,,
Friday,2,,,,,,,
Saturday,3,,,,,,,
Sunday,4,,,,,,,
Monday,5,,,,,,,
Tuesday,6,,,,,,,
Wednesday,7,X,,X,,,,
Thursday,8,,,,,,,
Friday,9,,,,,,,
Saturday,10,,X,,X,X,X,
Sunday,11,,,,X,X,X,X
Monday,12,,,,,,,
Tuesday,13,,,,,,,
Wednesday,14,,,X,,X,,
Thursday,15,,,,,,,
Friday,16,,,,,,,
Saturday,17,,,,,,,
Sunday,18,,,,X,,,X
Monday,19,,,,,,,
Tuesday,20,,,,,,,
Wednesday,21,,,X,X,,,
Thursday,22,,,,,,,
Friday,23,,,,,,,
Saturday,24,X,,,,X,,
